metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
context_length_tokens,provider,claude,tokens,79433,89126,"(79433,89126]",7662,0.042098438478698035,79236,0.43535785321040427,182002
context_length_tokens,provider,claude,tokens,89126,100000,"(89126,100000]",7520,0.04131822727222778,86756,0.47667608048263205,182002
context_length_tokens,provider,claude,tokens,100000,112202,"(100000,112202]",7663,0.04210393292381402,94419,0.5187800134064461,182002
context_length_tokens,provider,claude,tokens,112202,125893,"(112202,125893]",7545,0.041455588400127474,101964,0.5602356018065735,182002
context_length_tokens,provider,claude,tokens,125893,141254,"(125893,141254]",7428,0.04081273832155691,109392,0.6010483401281305,182002
context_length_tokens,provider,claude,tokens,141254,158490,"(141254,158490]",7634,0.04194459401545038,117026,0.6429929341435808,182002
context_length_tokens,provider,claude,tokens,158490,177828,"(158490,177828]",7404,0.0406808716387732,124430,0.683673805782354,182002
context_length_tokens,provider,claude,tokens,177828,199527,"(177828,199527]",6424,0.03529631542510522,130854,0.7189701212074593,182002
context_length_tokens,provider,claude,tokens,199527,223873,"(199527,223873]",6322,0.03473588202327447,137176,0.7537060032307338,182002
context_length_tokens,provider,claude,tokens,223873,251189,"(223873,251189]",6581,0.036158943308315296,143757,0.789864946539049,182002
context_length_tokens,provider,claude,tokens,251189,281839,"(251189,281839]",6048,0.03323040406149383,149805,0.8230953506005428,182002
context_length_tokens,provider,claude,tokens,281839,316228,"(281839,316228]",5764,0.031669981648553315,155569,0.8547653322490961,182002
context_length_tokens,provider,claude,tokens,316228,354814,"(316228,354814]",5498,0.030208459247700575,161067,0.8849737914967968,182002
context_length_tokens,provider,claude,tokens,354814,398108,"(354814,398108]",4756,0.026131580971637675,165823,0.9111053724684344,182002
context_length_tokens,provider,claude,tokens,398108,446684,"(398108,446684]",3659,0.020104174679399126,169482,0.9312095471478335,182002
context_length_tokens,provider,claude,tokens,446684,501188,"(446684,501188]",2438,0.013395457192778102,171920,0.9446050043406117,182002
context_length_tokens,provider,claude,tokens,501188,562342,"(501188,562342]",1911,0.010499884616652565,173831,0.9551048889572642,182002
context_length_tokens,provider,claude,tokens,562342,630958,"(562342,630958]",1699,0.009335062252063164,175530,0.9644399512093274,182002
context_length_tokens,provider,claude,tokens,630958,707946,"(630958,707946]",1678,0.009219678904627422,177208,0.9736596301139548,182002
context_length_tokens,provider,claude,tokens,707946,794329,"(707946,794329]",1842,0.01012076790364941,179050,0.9837803980176042,182002
context_length_tokens,provider,claude,tokens,794329,891251,"(794329,891251]",1699,0.009335062252063164,180749,0.9931154602696673,182002
context_length_tokens,provider,claude,tokens,891251,999944,"(891251,999944]",1253,0.006884539730332634,182002,1.0,182002
context_length_tokens,provider,codex,tokens,708,795,"(708,795]",1,7.50778933143136e-06,1,7.50778933143136e-06,133195
context_length_tokens,provider,codex,tokens,795,892,"(795,892]",1,7.50778933143136e-06,2,1.501557866286272e-05,133195
context_length_tokens,provider,codex,tokens,1000,1123,"(1000,1123]",1,7.50778933143136e-06,3,2.252336799429408e-05,133195
context_length_tokens,provider,codex,tokens,1259,1413,"(1259,1413]",2,1.501557866286272e-05,5,3.75389466571568e-05,133195
context_length_tokens,provider,codex,tokens,2512,2819,"(2512,2819]",17,0.00012763241863433312,22,0.0001651713652914899,133195
context_length_tokens,provider,codex,tokens,2819,3163,"(2819,3163]",28,0.00021021810128007807,50,0.000375389466571568,133195
context_length_tokens,provider,codex,tokens,3163,3549,"(3163,3549]",74,0.0005555764105259207,124,0.0009309658770974887,133195
context_length_tokens,provider,codex,tokens,3549,3982,"(3549,3982]",118,0.0008859191411089005,242,0.0018168850182063892,133195
context_length_tokens,provider,codex,tokens,3982,4467,"(3982,4467]",227,0.0017042681782349187,469,0.003521153196441308,133195
context_length_tokens,provider,codex,tokens,4467,5012,"(4467,5012]",126,0.0009459814557603514,595,0.004467134652201659,133195
context_length_tokens,provider,codex,tokens,5012,5624,"(5012,5624]",97,0.0007282555651488419,692,0.0051953902173505016,133195
context_length_tokens,provider,codex,tokens,5624,6310,"(5624,6310]",105,0.0007883178798002928,797,0.005983708097150794,133195
context_length_tokens,provider,codex,tokens,6310,7080,"(6310,7080]",135,0.0010135515597432337,932,0.0069972596568940275,133195
context_length_tokens,provider,codex,tokens,7080,7944,"(7080,7944]",165,0.0012387852396861744,1097,0.008236044896580202,133195
context_length_tokens,provider,codex,tokens,7944,8913,"(7944,8913]",298,0.0022373212207665453,1395,0.010473366117346746,133195
context_length_tokens,provider,codex,tokens,8913,10000,"(8913,10000]",303,0.002274860167423702,1698,0.01274822628477045,133195
context_length_tokens,provider,codex,tokens,10000,11221,"(10000,11221]",368,0.0027628664739667405,2066,0.01551109275873719,133195
context_length_tokens,provider,codex,tokens,11221,12590,"(11221,12590]",714,0.005360561582641991,2780,0.020871654341379182,133195
context_length_tokens,provider,codex,tokens,12590,14126,"(12590,14126]",794,0.0059611847291564995,3574,0.026832839070535682,133195
context_length_tokens,provider,codex,tokens,14126,15849,"(14126,15849]",966,0.007252524494162694,4540,0.03408536356469837,133195
context_length_tokens,provider,codex,tokens,15849,17783,"(15849,17783]",943,0.007079845339539773,5483,0.041165208904238144,133195
context_length_tokens,provider,codex,tokens,17783,19953,"(17783,19953]",1096,0.00822853710724877,6579,0.04939374601148692,133195
context_length_tokens,provider,codex,tokens,19953,22388,"(19953,22388]",1322,0.009925297496152258,7901,0.059319043507639176,133195
context_length_tokens,provider,codex,tokens,22388,25119,"(22388,25119]",1909,0.014332369833702466,9810,0.07365141334134165,133195
context_length_tokens,provider,codex,tokens,25119,28184,"(25119,28184]",2085,0.015653740756034387,11895,0.08930515409737602,133195
context_length_tokens,provider,codex,tokens,28184,31623,"(28184,31623]",2215,0.016629753369120464,14110,0.10593490746649649,133195
context_length_tokens,provider,codex,tokens,31623,35482,"(31623,35482]",2658,0.019955704042944555,16768,0.12589061150944106,133195
context_length_tokens,provider,codex,tokens,35482,39811,"(35482,39811]",3076,0.023093959983482862,19844,0.1489845714929239,133195
context_length_tokens,provider,codex,tokens,39811,44669,"(39811,44669]",3541,0.026585082022598447,23385,0.17556965351552237,133195
context_length_tokens,provider,codex,tokens,44669,50119,"(44669,50119]",4293,0.03223093959983483,27678,0.20780059311535717,133195
context_length_tokens,provider,codex,tokens,50119,56235,"(50119,56235]",4922,0.036953339089305155,32600,0.24475393220466235,133195
context_length_tokens,provider,codex,tokens,56235,63096,"(56235,63096]",5693,0.042741844663838735,38293,0.2874957768685011,133195
context_length_tokens,provider,codex,tokens,63096,70795,"(63096,70795]",6086,0.04569240587109126,44379,0.33318818273959233,133195
context_length_tokens,provider,codex,tokens,70795,79433,"(70795,79433]",6843,0.0513758023949848,51222,0.3845639851345771,133195
context_length_tokens,provider,codex,tokens,79433,89126,"(79433,89126]",7096,0.053275273095836934,58318,0.43783925823041403,133195
context_length_tokens,provider,codex,tokens,89126,100000,"(89126,100000]",7466,0.05605315514846653,65784,0.49389241337888057,133195
context_length_tokens,provider,codex,tokens,100000,112202,"(100000,112202]",7497,0.05628589661774091,73281,0.5501783099966215,133195
context_length_tokens,provider,codex,tokens,112202,125893,"(112202,125893]",7938,0.059596831712902136,81219,0.6097751417095236,133195
context_length_tokens,provider,codex,tokens,125893,141254,"(125893,141254]",8384,0.06294530575472053,89603,0.6727204474642442,133195
context_length_tokens,provider,codex,tokens,141254,158490,"(141254,158490]",9055,0.06798303239611096,98658,0.7407034798603551,133195
context_length_tokens,provider,codex,tokens,158490,177828,"(158490,177828]",9839,0.07386913923195315,108497,0.8145726190923083,133195
context_length_tokens,provider,codex,tokens,177828,199527,"(177828,199527]",9829,0.07379406133863883,118326,0.8883666804309471,133195
context_length_tokens,provider,codex,tokens,199527,223873,"(199527,223873]",9363,0.07029543151019182,127689,0.9586621119411389,133195
context_length_tokens,provider,codex,tokens,223873,251189,"(223873,251189]",4756,0.035707046060287545,132445,0.9943691580014264,133195
context_length_tokens,provider,codex,tokens,251189,281839,"(251189,281839]",306,0.002297383535417996,132751,0.9966665415368445,133195
context_length_tokens,provider,codex,tokens,281839,316228,"(281839,316228]",420,0.0031532715192011712,133171,0.9998198130560456,133195
context_length_tokens,provider,codex,tokens,316228,354814,"(316228,354814]",23,0.00017267915462292128,133194,0.9999924922106685,133195
context_length_tokens,provider,codex,tokens,446684,501188,"(446684,501188]",1,7.50778933143136e-06,133195,1.0,133195
context_length_tokens,trigger_type,human,tokens,399,447,"(399,447]",3,8.07471805776115e-05,3,8.07471805776115e-05,37153
context_length_tokens,trigger_type,human,tokens,502,563,"(502,563]",6,0.000161494361155223,9,0.0002422415417328345,37153
context_length_tokens,trigger_type,human,tokens,563,631,"(563,631]",5,0.00013457863429601916,14,0.00037682017602885364,37153
context_length_tokens,trigger_type,human,tokens,631,708,"(631,708]",3,8.07471805776115e-05,17,0.00045756735660646515,37153
context_length_tokens,trigger_type,human,tokens,708,795,"(708,795]",1,2.6915726859203833e-05,18,0.000484483083465669,37153
context_length_tokens,trigger_type,human,tokens,1000,1123,"(1000,1123]",1,2.6915726859203833e-05,19,0.0005113988103248728,37153
context_length_tokens,trigger_type,human,tokens,1259,1413,"(1259,1413]",1,2.6915726859203833e-05,20,0.0005383145371840766,37153
context_length_tokens,trigger_type,human,tokens,2512,2819,"(2512,2819]",13,0.00034990444916964983,33,0.0008882189863537265,37153
context_length_tokens,trigger_type,human,tokens,2819,3163,"(2819,3163]",13,0.00034990444916964983,46,0.0012381234355233763,37153
context_length_tokens,trigger_type,human,tokens,3163,3549,"(3163,3549]",44,0.0011842919818049686,90,0.002422415417328345,37153
context_length_tokens,trigger_type,human,tokens,3549,3982,"(3549,3982]",39,0.0010497133475089494,129,0.0034721287648372943,37153
context_length_tokens,trigger_type,human,tokens,3982,4467,"(3982,4467]",141,0.0037951174871477403,270,0.007267246251985035,37153
context_length_tokens,trigger_type,human,tokens,4467,5012,"(4467,5012]",33,0.0008882189863537265,303,0.00815546523833876,37153
context_length_tokens,trigger_type,human,tokens,5012,5624,"(5012,5624]",17,0.00045756735660646515,320,0.008613032594945226,37153
context_length_tokens,trigger_type,human,tokens,5624,6310,"(5624,6310]",16,0.00043065162974726133,336,0.009043684224692488,37153
context_length_tokens,trigger_type,human,tokens,6310,7080,"(6310,7080]",29,0.0007805560789169112,365,0.0098242403036094,37153
context_length_tokens,trigger_type,human,tokens,7080,7944,"(7080,7944]",52,0.0013996177966785993,417,0.011223858100287998,37153
context_length_tokens,trigger_type,human,tokens,7944,8913,"(7944,8913]",265,0.007132667617689016,682,0.018356525717977013,37153
context_length_tokens,trigger_type,human,tokens,8913,10000,"(8913,10000]",173,0.004656420746642263,855,0.023012946464619276,37153
context_length_tokens,trigger_type,human,tokens,10000,11221,"(10000,11221]",267,0.007186499071407423,1122,0.0301994455360267,37153
context_length_tokens,trigger_type,human,tokens,11221,12590,"(11221,12590]",514,0.01383468360563077,1636,0.04403412914165747,37153
context_length_tokens,trigger_type,human,tokens,12590,14126,"(12590,14126]",817,0.02199014884396953,2453,0.066024277985627,37153
context_length_tokens,trigger_type,human,tokens,14126,15849,"(14126,15849]",1101,0.02963421527198342,3554,0.09565849325761042,37153
context_length_tokens,trigger_type,human,tokens,15849,17783,"(15849,17783]",815,0.021936317390251123,4369,0.11759481064786155,37153
context_length_tokens,trigger_type,human,tokens,17783,19953,"(17783,19953]",1033,0.027803945845557558,5402,0.1453987564934191,37153
context_length_tokens,trigger_type,human,tokens,19953,22388,"(19953,22388]",686,0.018464188625413828,6088,0.16386294511883293,37153
context_length_tokens,trigger_type,human,tokens,22388,25119,"(22388,25119]",909,0.024466395715016284,6997,0.18832934083384922,37153
context_length_tokens,trigger_type,human,tokens,25119,28184,"(25119,28184]",804,0.021640244394799883,7801,0.20996958522864909,37153
context_length_tokens,trigger_type,human,tokens,28184,31623,"(28184,31623]",692,0.018625682986569053,8493,0.22859526821521814,37153
context_length_tokens,trigger_type,human,tokens,31623,35482,"(31623,35482]",818,0.022017064570828734,9311,0.2506123327860469,37153
context_length_tokens,trigger_type,human,tokens,35482,39811,"(35482,39811]",917,0.024681721529889913,10228,0.2752940543159368,37153
context_length_tokens,trigger_type,human,tokens,39811,44669,"(39811,44669]",795,0.021398002853067047,11023,0.2966920571690039,37153
context_length_tokens,trigger_type,human,tokens,44669,50119,"(44669,50119]",797,0.021451834306785454,11820,0.3181438914757893,37153
context_length_tokens,trigger_type,human,tokens,50119,56235,"(50119,56235]",866,0.02330901946007052,12686,0.34145291093585983,37153
context_length_tokens,trigger_type,human,tokens,56235,63096,"(56235,63096]",945,0.025435361881947623,13631,0.36688827281780745,37153
context_length_tokens,trigger_type,human,tokens,63096,70795,"(63096,70795]",920,0.024762468710467528,14551,0.39165074152827495,37153
context_length_tokens,trigger_type,human,tokens,70795,79433,"(70795,79433]",1079,0.029042069281080937,15630,0.4206928108093559,37153
context_length_tokens,trigger_type,human,tokens,79433,89126,"(79433,89126]",1118,0.030091782628589886,16748,0.4507845934379458,37153
context_length_tokens,trigger_type,human,tokens,89126,100000,"(89126,100000]",1337,0.035986326810755524,18085,0.48677092024870133,37153
context_length_tokens,trigger_type,human,tokens,100000,112202,"(100000,112202]",1350,0.036336231259925175,19435,0.5231071515086265,37153
context_length_tokens,trigger_type,human,tokens,112202,125893,"(112202,125893]",1304,0.0350981078244018,20739,0.5582052593330283,37153
context_length_tokens,trigger_type,human,tokens,125893,141254,"(125893,141254]",1374,0.03698220870454606,22113,0.5951874680375744,37153
