metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
isl_tokens,all,all,tokens,11221,12590,"(11221,12590]",1856,0.005888380917331066,302890,0.9609545776133656,315197
isl_tokens,all,all,tokens,12590,14126,"(12590,14126]",1964,0.0062310237724343825,304854,0.9671856013858,315197
isl_tokens,all,all,tokens,14126,15849,"(14126,15849]",1984,0.006294476153009071,306838,0.973480077538809,315197
isl_tokens,all,all,tokens,15849,17783,"(15849,17783]",1460,0.00463202378195224,308298,0.9781121013207613,315197
isl_tokens,all,all,tokens,17783,19953,"(17783,19953]",1490,0.0047272023528142715,309788,0.9828393036735755,315197
isl_tokens,all,all,tokens,19953,22388,"(19953,22388]",1024,0.0032487618854240364,310812,0.9860880655589996,315197
isl_tokens,all,all,tokens,22388,25119,"(22388,25119]",1130,0.003585059502469884,311942,0.9896731250614695,315197
isl_tokens,all,all,tokens,25119,28184,"(25119,28184]",828,0.0026269285557920918,312770,0.9923000536172616,315197
isl_tokens,all,all,tokens,28184,31623,"(28184,31623]",508,0.0016116904665970805,313278,0.9939117440838586,315197
isl_tokens,all,all,tokens,31623,35482,"(31623,35482]",516,0.001637071418826956,313794,0.9955488155026856,315197
isl_tokens,all,all,tokens,35482,39811,"(35482,39811]",484,0.0015355476099074548,314278,0.9970843631125931,315197
isl_tokens,all,all,tokens,39811,44669,"(39811,44669]",261,0.0008280535664996812,314539,0.9979124166790928,315197
isl_tokens,all,all,tokens,44669,50119,"(44669,50119]",180,0.0005710714251721939,314719,0.9984834881042649,315197
isl_tokens,all,all,tokens,50119,56235,"(50119,56235]",119,0.00037754166441939484,314838,0.9988610297686843,315197
isl_tokens,all,all,tokens,56235,63096,"(56235,63096]",62,0.00019670237978153347,314900,0.9990577321484658,315197
isl_tokens,all,all,tokens,63096,70795,"(63096,70795]",33,0.00010469642794823555,314933,0.9991624285764141,315197
isl_tokens,all,all,tokens,70795,79433,"(70795,79433]",25,7.931547571836026e-05,314958,0.9992417440521325,315197
isl_tokens,all,all,tokens,79433,89126,"(79433,89126]",21,6.662499960342262e-05,314979,0.9993083690517359,315197
isl_tokens,all,all,tokens,89126,100000,"(89126,100000]",29,9.20059518332979e-05,315008,0.9994003750035692,315197
isl_tokens,all,all,tokens,100000,112202,"(100000,112202]",12,3.807142834481293e-05,315020,0.999438446431914,315197
isl_tokens,all,all,tokens,112202,125893,"(112202,125893]",8,2.5380952229875284e-05,315028,0.9994638273841439,315197
isl_tokens,all,all,tokens,125893,141254,"(125893,141254]",14,4.441666640228175e-05,315042,0.9995082440505462,315197
isl_tokens,all,all,tokens,141254,158490,"(141254,158490]",17,5.393452348848498e-05,315059,0.9995621785740346,315197
isl_tokens,all,all,tokens,158490,177828,"(158490,177828]",95,0.000301398807729769,315154,0.9998635773817645,315197
isl_tokens,all,all,tokens,177828,199527,"(177828,199527]",37,0.00011738690406317319,315191,0.9999809642858276,315197
isl_tokens,all,all,tokens,199527,223873,"(199527,223873]",1,3.1726190287344105e-06,315192,0.9999841369048563,315197
isl_tokens,all,all,tokens,281839,316228,"(281839,316228]",3,9.517857086203232e-06,315195,0.9999936547619426,315197
isl_tokens,all,all,tokens,446684,501188,"(446684,501188]",1,3.1726190287344105e-06,315196,0.9999968273809713,315197
isl_tokens,all,all,tokens,707946,710767,"(707946,710767]",1,3.1726190287344105e-06,315197,1.0,315197
isl_tokens,provider,claude,tokens,0,1,"(0,1]",29,0.00015933890836364437,29,0.00015933890836364437,182002
isl_tokens,provider,claude,tokens,1,2,"(1,2]",9,4.945000604388963e-05,38,0.000208788914407534,182002
isl_tokens,provider,claude,tokens,2,3,"(2,3]",21,0.00011538334743574246,59,0.00032417226184327646,182002
isl_tokens,provider,claude,tokens,3,4,"(3,4]",65,0.0003571389325392029,124,0.0006813111943824793,182002
